,symbol,priceChangePercent,openPrice,highPrice,lowPrice,count
197,GTOBTC,0.000,0.00000000,0.00000000,0.00000000,0
198,GTOETH,0.000,0.00000000,0.00000000,0.00000000,0
199,GTOBNB,0.000,0.00000000,0.00000000,0.00000000,0
200,ICXBTC,-3.060,0.00000621,0.00000622,0.00000596,2547
201,ICXETH,0.000,0.00000000,0.00000000,0.00000000,0
202,ICXBNB,0.000,0.00000000,0.00000000,0.00000000,0
203,OSTBTC,0.000,0.00000000,0.00000000,0.00000000,0
204,OSTETH,0.000,0.00000000,0.00000000,0.00000000,0
205,OSTBNB,0.000,0.00000000,0.00000000,0.00000000,0
206,ELFBTC,-4.107,0.00001461,0.00001488,0.00001292,3095
207,ELFETH,-2.938,0.00026550,0.00027200,0.00023820,726
208,AIONBTC,0.000,0.00000000,0.00000000,0.00000000,0
209,AIONETH,0.000,0.00000000,0.00000000,0.00000000,0
210,AIONBNB,0.000,0.00000000,0.00000000,0.00000000,0
211,NEBLBTC,0.000,0.00000000,0.00000000,0.00000000,0
212,NEBLBNB,0.000,0.00000000,0.00000000,0.00000000,0
213,BRDBTC,0.000,0.00000000,0.00000000,0.00000000,0
214,BRDETH,0.000,0.00000000,0.00000000,0.00000000,0
215,BRDBNB,0.000,0.00000000,0.00000000,0.00000000,0
216,MCOBNB,0.000,0.00000000,0.00000000,0.00000000,0
217,EDOBTC,0.000,0.00000000,0.00000000,0.00000000,0
218,EDOETH,0.000,0.00000000,0.00000000,0.00000000,0
219,WINGSBTC,0.000,0.00000000,0.00000000,0.00000000,0
220,WINGSETH,0.000,0.00000000,0.00000000,0.00000000,0
221,NAVBTC,0.000,0.00000000,0.00000000,0.00000000,0
222,NAVETH,0.000,0.00000000,0.00000000,0.00000000,0
223,NAVBNB,0.000,0.00000000,0.00000000,0.00000000,0
224,LUNBTC,0.000,0.00000000,0.00000000,0.00000000,0
225,LUNETH,0.000,0.00000000,0.00000000,0.00000000,0
226,TRIGBTC,0.000,0.00000000,0.00000000,0.00000000,0
227,TRIGETH,0.000,0.00000000,0.00000000,0.00000000,0
228,TRIGBNB,0.000,0.00000000,0.00000000,0.00000000,0
229,APPCBTC,0.000,0.00000000,0.00000000,0.00000000,0
230,APPCETH,0.000,0.00000000,0.00000000,0.00000000,0
231,APPCBNB,0.000,0.00000000,0.00000000,0.00000000,0
232,VIBEBTC,0.000,0.00000000,0.00000000,0.00000000,0
233,VIBEETH,0.000,0.00000000,0.00000000,0.00000000,0
234,RLCBTC,-1.845,0.00004173,0.00004318,0.00004090,4108
235,RLCETH,0.000,0.00075500,0.00078900,0.00074900,764
236,RLCBNB,0.000,0.00000000,0.00000000,0.00000000,0
237,INSBTC,0.000,0.00000000,0.00000000,0.00000000,0
238,INSETH,0.000,0.00000000,0.00000000,0.00000000,0
239,PIVXBTC,-1.284,0.00000779,0.00000790,0.00000765,812
240,PIVXBNB,0.000,0.00000000,0.00000000,0.00000000,0
241,IOSTBTC,0.000,0.00000024,0.00000025,0.00000023,816
242,IOSTETH,-0.229,0.00000437,0.00000445,0.00000434,142
243,CHATBTC,0.000,0.00000000,0.00000000,0.00000000,0
244,CHATETH,0.000,0.00000000,0.00000000,0.00000000,0
245,STEEMBTC,-1.354,0.00000591,0.00000607,0.00000582,3180
246,STEEMETH,0.094,0.00010680,0.00011110,0.00010620,191
247,STEEMBNB,0.000,0.00000000,0.00000000,0.00000000,0
248,NANOBTC,0.000,0.00000000,0.00000000,0.00000000,0
249,NANOETH,0.000,0.00000000,0.00000000,0.00000000,0
250,NANOBNB,0.000,0.00000000,0.00000000,0.00000000,0
251,VIABTC,0.000,0.00000000,0.00000000,0.00000000,0
252,VIAETH,0.000,0.00000000,0.00000000,0.00000000,0
253,VIABNB,0.000,0.00000000,0.00000000,0.00000000,0
254,BLZBTC,3.718,0.00000780,0.00000818,0.00000777,1441
255,BLZETH,0.000,0.00000000,0.00000000,0.00000000,0
256,BLZBNB,0.000,0.00000000,0.00000000,0.00000000,0
257,AEBTC,0.000,0.00000000,0.00000000,0.00000000,0
258,AEETH,0.000,0.00000000,0.00000000,0.00000000,0
259,AEBNB,0.000,0.00000000,0.00000000,0.00000000,0
260,RPXBTC,0.000,0.00000000,0.00000000,0.00000000,0
261,RPXETH,0.000,0.00000000,0.00000000,0.00000000,0
262,RPXBNB,0.000,0.00000000,0.00000000,0.00000000,0
263,NCASHBTC,0.000,0.00000000,0.00000000,0.00000000,0
264,NCASHETH,0.000,0.00000000,0.00000000,0.00000000,0
265,NCASHBNB,0.000,0.00000000,0.00000000,0.00000000,0
266,POABTC,0.000,0.00000000,0.00000000,0.00000000,0
267,POAETH,0.000,0.00000000,0.00000000,0.00000000,0
268,POABNB,0.000,0.00000000,0.00000000,0.00000000,0
269,ZILBTC,-1.667,0.00000060,0.00000061,0.00000058,1754
270,ZILETH,-0.550,0.00001091,0.00001104,0.00001082,226
271,ZILBNB,0.000,0.00000000,0.00000000,0.00000000,0
272,ONTBTC,-1.197,0.00000585,0.00000587,0.00000569,924
273,ONTETH,0.000,0.00000000,0.00000000,0.00000000,0
274,ONTBNB,0.000,0.00000000,0.00000000,0.00000000,0
275,STORMBTC,0.000,0.00000000,0.00000000,0.00000000,0
276,STORMETH,0.000,0.00000000,0.00000000,0.00000000,0
277,STORMBNB,0.000,0.00000000,0.00000000,0.00000000,0
278,QTUMBNB,0.000,0.00000000,0.00000000,0.00000000,0
279,QTUMUSDT,-0.602,3.48800000,3.53200000,3.28200000,33774
280,XEMBTC,0.000,0.00000000,0.00000000,0.00000000,0
281,XEMETH,0.000,0.00000000,0.00000000,0.00000000,0
282,XEMBNB,0.000,0.00000000,0.00000000,0.00000000,0
283,WANBTC,-0.649,0.00000616,0.00000635,0.00000609,654
284,WANETH,0.446,0.00011200,0.00011560,0.00011070,588
285,WANBNB,0.000,0.00000000,0.00000000,0.00000000,0
286,WPRBTC,0.000,0.00000000,0.00000000,0.00000000,0
287,WPRETH,0.000,0.00000000,0.00000000,0.00000000,0
288,QLCBTC,0.000,0.00000000,0.00000000,0.00000000,0
289,QLCETH,0.000,0.00000000,0.00000000,0.00000000,0
290,SYSBTC,-2.432,0.00000329,0.00000330,0.00000319,722
291,SYSETH,0.000,0.00000000,0.00000000,0.00000000,0
292,SYSBNB,0.000,0.00000000,0.00000000,0.00000000,0
293,QLCBNB,0.000,0.00000000,0.00000000,0.00000000,0
294,GRSBTC,0.000,0.00000000,0.00000000,0.00000000,0
295,GRSETH,0.000,0.00000000,0.00000000,0.00000000,0
296,ADAUSDT,-2.317,0.62160000,0.62210000,0.59080000,184312
297,ADABNB,-2.748,0.00196500,0.00196600,0.00188600,2217
298,CLOAKBTC,0.000,0.00000000,0.00000000,0.00000000,0
299,CLOAKETH,0.000,0.00000000,0.00000000,0.00000000,0
300,GNTBTC,0.000,0.00000000,0.00000000,0.00000000,0
301,GNTETH,0.000,0.00000000,0.00000000,0.00000000,0
302,GNTBNB,0.000,0.00000000,0.00000000,0.00000000,0
303,LOOMBTC,-1.163,0.00000258,0.00000258,0.00000253,934
304,LOOMETH,0.000,0.00000000,0.00000000,0.00000000,0
305,LOOMBNB,0.000,0.00000000,0.00000000,0.00000000,0
306,XRPUSDT,-1.542,0.63540000,0.63620000,0.61210000,186522
307,BCNBTC,0.000,0.00000000,0.00000000,0.00000000,0
308,BCNETH,0.000,0.00000000,0.00000000,0.00000000,0
309,BCNBNB,0.000,0.00000000,0.00000000,0.00000000,0
310,REPBTC,0.000,0.00000000,0.00000000,0.00000000,0
311,REPBNB,0.000,0.00000000,0.00000000,0.00000000,0
312,BTCTUSD,-1.840,42997.63000000,43058.61000000,41323.47000000,85224
313,TUSDBTC,0.000,0.00000000,0.00000000,0.00000000,0
314,ETHTUSD,-3.278,2376.35000000,2382.35000000,2258.00000000,17683
315,TUSDETH,0.000,0.00000000,0.00000000,0.00000000,0
316,TUSDBNB,0.000,0.00000000,0.00000000,0.00000000,0
317,ZENBTC,0.130,0.00022990,0.00023880,0.00022470,8160
318,ZENETH,1.388,0.00417800,0.00435100,0.00410900,429
319,ZENBNB,0.000,0.00000000,0.00000000,0.00000000,0
320,SKYBTC,0.000,0.00000000,0.00000000,0.00000000,0
321,SKYETH,0.000,0.00000000,0.00000000,0.00000000,0
322,SKYBNB,0.000,0.00000000,0.00000000,0.00000000,0
323,EOSUSDT,-1.596,0.87700000,0.88200000,0.82700000,38371
324,EOSBNB,0.000,0.00000000,0.00000000,0.00000000,0
325,CVCBTC,0.000,0.00000000,0.00000000,0.00000000,0
326,CVCETH,0.000,0.00000000,0.00000000,0.00000000,0
327,CVCBNB,0.000,0.00000000,0.00000000,0.00000000,0
328,THETABTC,0.529,0.00003023,0.00003246,0.00002982,5274
329,THETAETH,1.865,0.00054700,0.00059220,0.00053920,493
330,THETABNB,0.000,0.00000000,0.00000000,0.00000000,0
